[1, 1, 1, 1, 1, 1] (False, [])
[1, 1, 1, 2, 3, 6] (True, ['1+1=2', '2+1=3', '7*3=21', '21-1=20', '20*3=60'])
[1, 1, 1, 2, 3, 7] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 2, 3, 8] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 2, 3, 9] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 2, 3, 10] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 2, 4, 4] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 2, 4, 5] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 2, 4, 6] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 2, 4, 7] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 2, 4, 8] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 2, 4, 9] (True, ['1+1=2', '1+1=2', '2+2=4', '10+5=15', '15*4=60'])
[1, 1, 1, 2, 4, 10] (True, ['1+1=2', '1+1=2', '2+2=4', '10+5=15', '15*4=60'])
[1, 1, 1, 2, 5, 5] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 2, 5, 6] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 2, 5, 7] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 2, 5, 8] (True, ['1+1=2', '2+1=3', '3/2=1', '5*1=7', '8*7=60'])
[1, 1, 1, 2, 5, 9] (True, ['1+1=2', '1*1=1', '2+1=3', '9*7=63', '63-3=60'])
[1, 1, 1, 2, 5, 10] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 2, 6, 6] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 2, 6, 7] (True, ['1+1=2', '2+1=3', '7*3=21', '21-1=20', '20*3=60'])
[1, 1, 1, 2, 6, 8] (True, ['1+1=2', '2+1=3', '3/2=1', '5*1=7', '8*7=60'])
[1, 1, 1, 2, 6, 9] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 2, 6, 10] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 2, 7, 7] (True, ['1+1=2', '1*1=1', '2+1=3', '9*7=63', '63-3=60'])
[1, 1, 1, 2, 7, 8] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 2, 7, 9] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 2, 7, 10] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 2, 8, 8] (True, ['1+1=2', '1+1=2', '2+2=4', '8*8=64', '64-4=60'])
[1, 1, 1, 2, 8, 9] (True, ['1+1=2', '2+1=3', '3/2=1', '5*1=7', '8*7=60'])
[1, 1, 1, 2, 8, 10] (True, ['1+1=2', '2+1=3', '7*3=21', '21-1=20', '20*3=60'])
[1, 1, 1, 2, 9, 9] (True, ['1+1=2', '2+1=3', '7*3=21', '21-1=20', '20*3=60'])
[1, 1, 1, 2, 9, 10] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 2, 10, 10] (True, ['1+1=2', '2+1=3', '3+2=5', '10*5=50', '50+10=60'])
[1, 1, 1, 3, 3, 3] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 3, 3, 4] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 3, 3, 5] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 3, 3, 6] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 3, 3, 7] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 3, 3, 8] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 3, 3, 9] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 3, 3, 10] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 3, 4, 4] (True, ['1+1=2', '1+1=2', '2+2=4', '10+5=15', '15*4=60'])
[1, 1, 1, 3, 4, 5] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 3, 4, 6] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 3, 4, 7] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 3, 4, 8] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 3, 4, 9] (True, ['1+1=2', '1+1=2', '2+2=4', '10+5=15', '15*4=60'])
[1, 1, 1, 3, 4, 10] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 3, 5, 5] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 3, 5, 6] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
